code	prefLabel	broader	definition
20000086	cyber crime	http://cv.iptc.org/newscodes/mediatopic/20000082	Criminal activities carried out by means of computers or the internet, such as hacking, phishing scams and identity theft
20000087	corporate crime	http://cv.iptc.org/newscodes/mediatopic/20000082	Crimes committed by a corporation or by individuals acting on behalf of a corporation
20000088	anti-trust crime	http://cv.iptc.org/newscodes/mediatopic/20000087	Violations of laws aimed at corporations to promote fair competition for the benefit of consumers
20000089	breach of contract	http://cv.iptc.org/newscodes/mediatopic/20000087	The breaking of terms set in a contractual agreement
20000090	embezzlement	http://cv.iptc.org/newscodes/mediatopic/20000087	The intentional theft or misuse of money left in one's care or belonging to one's employer
20000091	insider trading	http://cv.iptc.org/newscodes/mediatopic/20000087	Trading of stocks by persons having access to internal information not made public at the time
20000092	restraint of trade	http://cv.iptc.org/newscodes/mediatopic/20000087	Interference in free competition in business and trade
20000093	corruption	http://cv.iptc.org/newscodes/mediatopic/20000082	Dishonest actions by a person in power in return for pecuniary or personal gain
20000094	bribery	http://cv.iptc.org/newscodes/mediatopic/20000093	The giving of money or favors in order to influence the judgment or conduct of a person in a position of power
20000095	drug related crimes	http://cv.iptc.org/newscodes/mediatopic/20000082	Illegal activities involving illicit substances, including buying, distribution, selling and smuggling
20000096	drug trafficking	http://cv.iptc.org/newscodes/mediatopic/20000095	Dealing in illicit often harmful substances
20000097	fraud	http://cv.iptc.org/newscodes/mediatopic/20000082	Intentional deception for personal or financial gain
20000098	hijacking	http://cv.iptc.org/newscodes/mediatopic/20000082	Taking over a transportation vehicle by force
20000099	homicide	http://cv.iptc.org/newscodes/mediatopic/20000082	The killing of one person by another, including murder and manslaughter
20000100	kidnapping	http://cv.iptc.org/newscodes/mediatopic/20000082	To seize and detain a person against that person's will by unlawful threat, force or fraud
20000101	organized crime	http://cv.iptc.org/newscodes/mediatopic/20000082	Crimes committed by gangs or criminal organizations, such as the mafia
20000102	gang activity	http://cv.iptc.org/newscodes/mediatopic/20000101	Criminal activities by groups of individuals, who are allied by common territories, languages or ethnic backgrounds and identify by a common group identity by using a shared name, tattoo, hand sign, clothing style or graffiti symbol
20000103	terrorism	http://cv.iptc.org/newscodes/mediatopic/20000082	Violence against people to create fear in order to achieve political or ideological objectives
20000104	robbery and theft	http://cv.iptc.org/newscodes/mediatopic/20000082	The taking of another person's property without their consent, sometimes by force
20000105	war crime	http://cv.iptc.org/newscodes/mediatopic/20000082	Crimes committed during a war or armed conflict, usually against civilians or prisoners of war, including the prosecution of such crimes
20000106	judiciary	http://cv.iptc.org/newscodes/mediatopic/02000000	The system of courts of law
20000107	court	http://cv.iptc.org/newscodes/mediatopic/20000106	Place where legal cases are heard and decided
